0: '2024' at x=50.00, top=45.34
1: 'ةﺪﺣﻮﻤﻟا' at x=625.44, top=104.61
2: 'ﻲﻟﺎﻤﻟا' at x=678.88, top=104.61
3: 'ﺰﻛﺮﻤﻟا' at x=720.98, top=104.61
4: 'ﺔﻤﺋﺎﻗ' at x=761.76, top=104.61
5: '�' at x=780.51, top=118.97
6: 'ﻚﻟﺬﻓﻼﺧدﺮﻳﻢﻟﺎﻣﺔﻳدﻮﻌﺴﻟﺎﺗﻻﺎﻳﺮﻟافﻻﺂﺑﻎﻟﺎﺒﻤﻟاﺔﻓ' at x=651.50, top=122.06
7: '٢٠٢٣' at x=97.00, top=140.37
8: '٢٠٢٤' at x=169.70, top=140.37
9: 'ح' at x=204.60, top=140.21
10: 'ﺎﻀﻳإ' at x=211.31, top=140.21
11: 'ﺮ' at x=365.82, top=140.06
12: 'ﺒﻤﺴﻳد' at x=370.50, top=140.06
13: '٣١' at x=390.13, top=140.06
14: 'ﻲﻓ' at x=398.06, top=140.06
15: 'ﺎﻤﻛ' at x=408.20, top=140.06
16: '٢٠٢٣' at x=497.19, top=140.13
17: '٢٠٢٤' at x=569.88, top=140.13
18: 'ح' at x=604.79, top=139.97
19: 'ﺎﻀﻳإ' at x=611.50, top=139.97
20: 'ﺮ' at x=757.23, top=141.38
21: 'ﺒﻤﺴﻳد' at x=761.91, top=141.38
22: '٣١' at x=781.54, top=141.38
23: 'ﻲﻓ' at x=789.47, top=141.38
24: 'ﺎﻤﻛ' at x=799.62, top=141.38
25: 'تﺎﺑﻮﻠﻄﻤﻟاوﺔﻴﻜﻠﻤﻟاقﻮﻘﺣ' at x=344.40, top=151.30
26: 'تادﻮﺟﻮﻤﻟا' at x=778.53, top=151.87
27: 'ﺔ' at x=378.00, top=160.30
28: 'ﻴﻜﻠﻤﻟا' at x=383.31, top=160.30
29: 'قﻮﻘﺣ' at x=400.92, top=160.30
30: 'ﺔ' at x=738.27, top=161.62
31: 'ﻟواﺪﺘﻤﻟ' at x=743.57, top=161.62
32: 'ا' at x=764.18, top=161.62
33: 'ﺮﻴﻏ' at x=767.76, top=161.62
34: 'تادﻮﺟﻮﻤﻟ' at x=778.53, top=161.62
35: 'ا' at x=808.79, top=161.62
36: '٣٠٬٠٠٠٬٠٠٠' at x=77.80, top=166.78
37: '٣٠٬٠٠٠٬٠٠٠' at x=147.86, top=167.14
38: '۱۹' at x=214.45, top=169.92
39: 'لﺎﻤﻟا' at x=388.26, top=169.30
40: 'سأر' at x=404.52, top=169.30
41: '١١٥٬١٢٢٬٥۷٩' at x=474.35, top=167.05
42: '١١٢٬٥٨٠٬٥٧٥' at x=544.14, top=167.41
43: '۷' at x=613.06, top=170.83
44: 'تاﺪﻌﻣو' at x=736.86, top=170.62
45: 'ﻊﻧﺎﺼﻣو' at x=761.41, top=170.62
46: 'ت' at x=784.26, top=170.62
47: '�' at x=791.16, top=167.52
48: 'ﻠﺘﻤﻣ' at x=798.11, top=170.62
49: '١١٠٬۸۸٩٬٠٣٢' at x=74.15, top=175.78
50: '١١٠٬٨٨٩٬٠٣٢' at x=143.96, top=176.14
51: '۲۰' at x=207.84, top=178.92
52: 'مﺎﻋ' at x=383.53, top=179.04
53: 'ﻲﻃﺎﻴﺘﺣا' at x=394.34, top=179.04
54: '٥٬٥۷۸٬٥۷٢' at x=481.66, top=176.80
55: '٤٬٨٣٥٬٥٤٣' at x=551.95, top=177.15
56: '۸' at x=612.05, top=180.58
57: 'ماﺪﺨﺘﺳﻻا' at x=743.85, top=180.36
58: 'ﻖﺣ' at x=772.65, top=180.36
59: 'تادﻮﺟﻮﻣ' at x=784.29, top=180.36
60: '(١٬٥۷٦٬٥٥۷)' at x=77.85, top=186.10
61: '(٤٬١١٢٬٤٧٥)' at x=148.15, top=186.45
62: '۲۰' at x=207.84, top=187.92
63: 'ىﺮﺧأ' at x=372.25, top=188.04
64: 'تﺎﻴﻃﺎﻴﺘﺣا' at x=387.94, top=188.04
65: '١٩٬۷٦٣٬٠٠٩' at x=477.98, top=186.55
66: '١٩٬١٤١٬٦٣٣' at x=548.04, top=186.90
67: '۹' at x=612.35, top=190.32
68: 'ﺔﺳﻮﻤﻠﻣ' at x=749.73, top=189.36
69: 'ﺮﻴﻏ' at x=773.51, top=189.36
70: 'تادﻮﺟﻮﻣ' at x=784.28, top=189.36
71: '٢۸٬١١٦٬١٣٩' at x=77.82, top=195.69
72: '٢٠٬٠٥٦٬٥٧٦' at x=147.86, top=196.05
73: 'ةﺎﻘﺒﻣ' at x=388.36, top=197.79
74: 'حﺎﺑرأ' at x=404.59, top=197.79
75: '٤١٬٢٣۷٬٣٠١' at x=477.98, top=196.29
76: '٣٥٬٤٣٥٬٧٨٥' at x=548.04, top=196.65
77: '۱۰' at x=612.05, top=200.07
78: 'ﺔﻛﺮﺘﺸﻣ' at x=682.74, top=199.11
79: 'ﻊﻳرﺎﺸﻣو' at x=705.80, top=199.11
80: 'ﺔﻠﻴﻣز' at x=730.72, top=199.11
81: 'ت' at x=746.90, top=199.11
82: '�' at x=753.80, top=196.01
83: 'ﺮﺷ' at x=760.75, top=199.11
84: 'ﻲﻓ' at x=770.88, top=199.11
85: 'تارﺎﻤﺜﺘﺳا' at x=781.02, top=199.11
86: '١٦۷٬٤٢۸٬٦١٤' at x=74.17, top=205.44
87: '١٥٦٬٨٣٣٬١٣٣' at x=143.96, top=205.80
88: 'م' at x=293.35, top=207.53
89: 'ﻷا' at x=298.64, top=207.53
90: 'ﺔﻛﺮﺸﻟا' at x=306.27, top=207.53
91: 'ﻲﻤﻫﺎﺴﻤﺑ' at x=326.55, top=207.53
92: 'ﺔﻘﻠﻌﺘﻤﻟا' at x=355.41, top=207.53
93: 'ﺔﻴﻜﻠﻤﻟا' at x=379.92, top=207.53
94: 'قﻮﻘﺣ' at x=400.91, top=207.53
95: '٣٣٢٬٤٥۸' at x=487.53, top=206.04
96: '٣٣٢٬٤٥٨' at x=558.07, top=206.39
97: '۱۱' at x=612.11, top=209.82
98: 'ﻦﻳﺪﻟا' at x=736.11, top=208.10
99: 'تاودأ' at x=752.34, top=208.10
100: 'ﻲﻓ' at x=770.88, top=208.10
101: 'تارﺎﻤﺜﺘﺳا' at x=781.03, top=208.10
102: '٢۷٬۸٥٣٬٩٢٦' at x=77.80, top=214.44
103: '٢٧٬٠٨٥٬٠٢٦' at x=147.86, top=214.79
104: '۲۱' at x=210.64, top=219.33
105: 'ةﺮﻄﻴﺴﻤﻟا' at x=340.76, top=216.53
106: 'ﺮﻴﻏ' at x=369.16, top=216.53
107: 'ﺔﻴﻜﻠﻤﻟا' at x=379.93, top=216.53
108: 'قﻮﻘﺣ' at x=400.91, top=216.53
109: '٢٣٦٬٤۸٥' at x=487.53, top=215.79
110: '٢٥٣٬٤٠٢' at x=558.07, top=216.14
111: '۱۲' at x=611.35, top=219.56
112: 'ﺔﻴﻜﻠﻤﻟا' at x=713.24, top=217.85
113: 'قﻮﻘﺣ' at x=734.23, top=217.85
114: 'تاودأ' at x=752.34, top=217.85
115: 'ﻲﻓ' at x=770.88, top=217.85
116: 'تارﺎﻤﺜﺘﺳا' at x=781.03, top=217.85
117: '١٩٥٬٢۸٢٬٥٤٠' at x=74.17, top=224.18
118: '١٨٣٬٩١٨٬١٥٩' at x=143.96, top=224.54
119: 'ﺔ' at x=357.37, top=226.28
120: 'ﻴﻜﻠﻤﻟا' at x=362.68, top=226.28
121: 'قﻮﻘﺣ' at x=380.29, top=226.28
122: 'ﻲﻟﺎﻤﺟإ' at x=398.40, top=226.28
123: '١٬۷٤٩٬٢۸٦' at x=481.64, top=225.53
124: '٢٬٣٦٥٬٦٠٩' at x=551.95, top=225.89
125: '۳۱' at x=610.99, top=229.31
126: 'ﺔﻠﺟﺆﻣ' at x=747.09, top=226.85
127: 'ﺔﺒﻳﺮﺿ' at x=765.50, top=226.85
128: 'تادﻮﺟﻮﻣ' at x=784.29, top=226.85
129: '٣٬۷٤٥٬١۷٦' at x=481.65, top=235.28
130: '٣٬٦٦٩٬٦٨٨' at x=551.95, top=235.63
131: '۱۳' at x=610.99, top=239.06
132: 'ﺔﻘﺘ' at x=757.58, top=236.59
133: 'ﺸﻣ' at x=766.99, top=236.59
134: 'ﺔﻴ' at x=778.47, top=236.59
135: 'ﻟﺎﻣ' at x=784.44, top=236.59
136: 'تاودأ' at x=793.84, top=236.59
137: '٢٣٬٢٥٥٬١۷٩' at x=75.93, top=255.01
138: '٢٦٬١٦٥٬٠٨٦' at x=147.79, top=255.37
139: '۲۲' at x=209.88, top=258.26
140: 'ﺔ' at x=345.48, top=249.94
141: 'ﻟواﺪﺘﻤﻟ' at x=350.79, top=249.94
142: 'ا' at x=371.39, top=249.94
143: 'ﺮﻴﻏ' at x=374.97, top=249.94
144: 'تﺎﺑﻮﻠ' at x=385.74, top=249.94
145: 'ﻄ' at x=401.89, top=249.94
146: 'ن' at x=402.80, top=260.44
147: 'ﻤ' at x=406.82, top=249.94
148: 'ﻮﻳ' at x=407.56, top=260.44
149: 'ﻟ' at x=410.84, top=249.94
150: 'د' at x=412.92, top=260.44
151: 'ا' at x=414.58, top=249.94
152: '١٩٣' at x=474.34, top=255.52
153: '٦٬' at x=481.65, top=245.03
154: '٬' at x=485.31, top=255.52
155: '٠' at x=487.52, top=245.03
156: '۷' at x=487.53, top=255.52
157: '١' at x=491.17, top=245.03
158: '۷' at x=491.19, top=255.52
159: '١' at x=494.83, top=245.03
160: '٦' at x=494.84, top=255.52
161: '٬' at x=498.49, top=245.03
162: '٬' at x=498.50, top=255.52
163: '٢' at x=500.71, top=245.03
164: '١٣' at x=500.71, top=255.52
165: '٦' at x=504.37, top=245.03
166: '٢' at x=508.02, top=255.52
167: '٦' at x=508.02, top=245.03
168: '١٨' at x=544.14, top=255.88
169: '٨' at x=551.95, top=245.38
170: '٦٬' at x=551.95, top=255.88
171: '٬' at x=555.85, top=245.38
172: '٦' at x=558.06, top=255.88
173: '٠٢' at x=558.07, top=245.38
174: '٣' at x=561.97, top=255.88
175: '٠' at x=565.87, top=245.38
176: '٤٬' at x=565.87, top=255.88
177: '٬٢' at x=569.78, top=245.38
178: '٩' at x=572.00, top=255.88
179: '٣' at x=575.90, top=245.38
180: '٢٧' at x=575.90, top=255.88
181: '٤' at x=579.80, top=245.38
182: '۱٤' at x=611.38, top=248.80
183: 'ﺔ' at x=721.50, top=256.09
184: 'ﻟواﺪ' at x=726.81, top=256.09
185: 'ى' at x=735.59, top=245.59
186: 'ﺘﻤ' at x=737.07, top=256.09
187: 'ﺮﺧ' at x=740.87, top=245.59
188: 'ﻟا' at x=743.68, top=256.09
189: 'أ' at x=747.72, top=245.59
190: 'ﺮ' at x=749.07, top=256.09
191: 'ﺔ' at x=751.28, top=245.59
192: 'ﻴﻏ' at x=751.82, top=256.09
193: 'ﻨﻳ' at x=754.66, top=245.59
194: 'ﺪ' at x=759.12, top=245.59
195: 'ت' at x=759.83, top=256.09
196: 'ﻣ' at x=762.81, top=245.59
197: 'اد' at x=766.73, top=256.09
198: 'ﻢ' at x=768.39, top=245.59
199: 'ﻮ' at x=771.70, top=256.09
200: 'ﻣ' at x=772.29, top=245.59
201: 'ﺟ' at x=774.98, top=256.09
202: 'ذ' at x=775.94, top=245.59
203: 'ﻮ' at x=779.07, top=256.09
204: 'و' at x=779.25, top=245.59
205: 'ﻤ' at x=782.35, top=256.09
206: 'ت' at x=784.29, top=245.59
207: 'ﻟا' at x=786.36, top=256.09
208: 'ا' at x=791.19, top=245.59
209: 'ﻲ' at x=791.75, top=256.09
210: 'دﻮ' at x=792.84, top=245.59
211: 'ﻟﺎ' at x=796.86, top=256.09
212: 'ﺟ' at x=799.43, top=245.59
213: 'ﻤ' at x=800.69, top=256.09
214: 'ﻮ' at x=803.53, top=245.59
215: 'ﺟ' at x=804.71, top=256.09
216: 'ﻣ' at x=806.80, top=245.59
217: 'إ' at x=808.80, top=256.09
218: '٤٬٦٢٢٬٤٥٩' at x=81.40, top=264.61
219: '٣٬٩٨٣٬٩٦٠' at x=151.69, top=265.12
220: '۲۲' at x=207.84, top=267.26
221: 'رﺎﺠﻳإ' at x=363.10, top=269.43
222: 'دﻮﻘﻋ' at x=377.76, top=269.43
223: 'تﺎﻣاﺰﺘﻟا' at x=393.21, top=269.43
224: '١٢٬۸٩٤٬٣٩٢' at x=77.74, top=274.36
225: '١٣٬٥٠٧٬٠١٠' at x=147.79, top=274.86
226: '۲۳' at x=207.84, top=276.25
227: 'ﻦﻴﻔﻇﻮﻤﻟا' at x=372.89, top=278.43
228: 'ﻊﻓﺎﻨﻣ' at x=401.38, top=278.43
229: 'ﺔ' at x=748.07, top=280.47
230: 'ﻟواﺪﺘﻤﻟ' at x=753.38, top=280.47
231: 'ا' at x=773.98, top=280.47
232: 'تادﻮﺟﻮﻤﻟ' at x=777.57, top=280.47
233: 'ا' at x=807.83, top=280.47
234: '٢' at x=81.38, top=293.85
235: '١' at x=81.39, top=303.60
236: '١' at x=81.39, top=313.34
237: '٬' at x=85.03, top=293.85
238: '٬' at x=85.05, top=303.60
239: '٬' at x=85.05, top=313.34
240: '٠' at x=87.26, top=293.85
241: '٦' at x=87.26, top=313.34
242: '۸' at x=87.27, top=284.10
243: '٠' at x=87.27, top=303.60
244: '١' at x=90.91, top=293.85
245: '٠' at x=90.92, top=313.34
246: '١' at x=90.93, top=284.10
247: '٩' at x=90.93, top=303.60
248: '١' at x=94.57, top=293.85
249: '۸' at x=94.57, top=313.34
250: '٠' at x=94.58, top=303.60
251: '٤' at x=94.58, top=284.10
252: '٬' at x=98.23, top=293.85
253: '٬' at x=98.23, top=313.34
254: '٬' at x=98.24, top=284.10
255: '٬' at x=98.24, top=303.60
256: '٩' at x=100.45, top=284.10
257: '١' at x=100.45, top=293.85
258: '٩' at x=100.45, top=313.34
259: '٤' at x=100.45, top=303.60
260: '٤' at x=104.11, top=284.10
261: '٤' at x=104.11, top=293.85
262: '۸' at x=104.11, top=303.60
263: '٤' at x=104.11, top=313.34
264: '٤' at x=107.76, top=293.85
265: '٩' at x=107.76, top=303.60
266: '٢' at x=107.76, top=284.10
267: '٠' at x=107.76, top=313.34
268: '١' at x=151.69, top=294.36
269: '١' at x=151.69, top=313.85
270: '٬' at x=155.59, top=294.36
271: '٬٦' at x=155.59, top=313.85
272: '٦' at x=157.81, top=284.61
273: '٩' at x=157.81, top=294.36
274: '٨' at x=157.81, top=304.10
275: '٧' at x=161.71, top=294.36
276: '٧' at x=161.71, top=304.10
277: '١' at x=161.71, top=284.61
278: '٠' at x=161.71, top=313.85
279: '٠' at x=165.62, top=304.10
280: '١' at x=165.62, top=284.61
281: '٥' at x=165.62, top=294.36
282: '٥' at x=165.62, top=313.85
283: '٬' at x=169.52, top=294.36
284: '٬' at x=169.52, top=313.85
285: '٬' at x=169.52, top=284.61
286: '٬' at x=169.52, top=304.10
287: '٥' at x=171.73, top=284.61
288: '٥' at x=171.73, top=304.10
289: '٨' at x=171.74, top=294.36
290: '٢' at x=171.74, top=313.85
291: '٦' at x=175.63, top=304.10
292: '٩' at x=175.64, top=294.36
293: '٨' at x=175.64, top=284.61
294: '٤' at x=175.64, top=313.85
295: '٥' at x=179.53, top=304.10
296: '٢' at x=179.54, top=284.61
297: '٤' at x=179.54, top=294.36
298: '٩' at x=179.54, top=313.85
299: '۳' at x=207.84, top=285.25
300: '۱' at x=207.84, top=294.25
301: '۲' at x=207.84, top=303.25
302: '۲' at x=207.84, top=312.24
303: '۳' at x=209.89, top=294.25
304: '٤' at x=211.42, top=303.25
305: '٥' at x=211.42, top=312.24
306: '۱' at x=212.11, top=285.25
307: 'ﺔﻠﺟ' at x=354.30, top=287.43
308: 'ﺔ' at x=363.37, top=297.17
309: 'ﺆ' at x=363.85, top=287.43
310: 'ﻘ' at x=366.75, top=297.17
311: 'ﻣ' at x=367.13, top=287.43
312: 'ﺘ' at x=370.18, top=297.17
313: 'ﺔ' at x=372.71, top=287.43
314: 'ﺸ' at x=372.78, top=297.17
315: 'ى' at x=375.82, top=315.17
316: 'ﺒﻳ' at x=376.09, top=287.43
317: 'ﻣ' at x=378.68, top=297.17
318: 'ﺮ' at x=380.55, top=287.43
319: 'ﺮ' at x=381.10, top=315.17
320: 'ﺿ' at x=383.30, top=287.43
321: 'ﺧ' at x=383.85, top=315.17
322: 'ﺔ' at x=384.26, top=297.17
323: 'ت' at x=386.05, top=306.17
324: 'ﻴ' at x=387.63, top=297.17
325: 'أ' at x=387.94, top=315.17
326: 'ﻟ' at x=390.22, top=297.17
327: 'ت' at x=391.50, top=287.43
328: 'ت' at x=391.51, top=315.17
329: 'ﺎ' at x=392.03, top=297.17
330: 'ﺎ' at x=392.95, top=306.17
331: 'ﻣ' at x=394.05, top=297.17
332: 'ﺼ' at x=394.97, top=306.17
333: 'ﺎ' at x=398.40, top=287.43
334: 'ﺎ' at x=398.41, top=315.17
335: 'ت' at x=399.63, top=297.17
336: 'ﺑ' at x=400.42, top=287.43
337: 'ﺑ' at x=400.43, top=315.17
338: 'ﺼ' at x=401.56, top=306.17
339: 'ﻮ' at x=402.29, top=287.43
340: 'ﻮ' at x=402.30, top=315.17
341: 'ﻠ' at x=405.57, top=287.43
342: 'ﻠ' at x=405.57, top=315.17
343: 'ا' at x=406.53, top=297.17
344: 'ﻄ' at x=407.65, top=287.43
345: 'ﻄ' at x=407.66, top=315.17
346: 'ﺨ' at x=408.15, top=306.17
347: 'ود' at x=408.18, top=297.17
348: 'ﻣ' at x=412.58, top=306.17
349: 'ﻣ' at x=412.58, top=287.43
350: 'ﻣ' at x=412.59, top=315.17
351: 'أ' at x=414.60, top=297.17
352: '١' at x=477.99, top=285.69
353: '١' at x=478.00, top=295.44
354: '۸' at x=481.64, top=285.69
355: '٩' at x=481.66, top=295.44
356: '٩' at x=481.66, top=314.93
357: '٥' at x=481.67, top=305.19
358: '٬' at x=485.30, top=285.69
359: '٬' at x=485.31, top=295.44
360: '٬' at x=485.31, top=314.93
361: '٬' at x=485.32, top=305.19
362: '٣' at x=487.53, top=285.69
363: '٢' at x=487.54, top=295.44
364: '٢' at x=487.54, top=305.19
365: '۸' at x=487.54, top=314.93
366: '٣' at x=491.18, top=285.69
367: '٩' at x=491.19, top=295.44
368: '٩' at x=491.19, top=305.19
369: '٤' at x=491.19, top=314.93
370: '٢' at x=494.83, top=285.69
371: '٥' at x=494.85, top=295.44
372: '٥' at x=494.85, top=305.19
373: '٢' at x=494.85, top=314.93
374: '٬' at x=498.49, top=285.69
375: '٬' at x=498.50, top=295.44
376: '٬' at x=498.50, top=305.19
377: '٬' at x=498.50, top=314.93
378: '٢' at x=500.72, top=285.69
379: '٣' at x=500.72, top=295.44
380: '١' at x=500.72, top=305.19
381: '٦' at x=500.72, top=314.93
382: '٢' at x=504.37, top=285.69
383: '۷' at x=504.37, top=295.44
384: '٥' at x=504.37, top=305.19
385: '١' at x=504.37, top=314.93
386: '٣' at x=508.02, top=285.69
387: '٥' at x=508.03, top=305.19
388: '۷' at x=508.03, top=314.93
389: '٤' at x=508.03, top=295.44
390: '١' at x=548.04, top=286.05
391: '٢' at x=548.04, top=295.79
392: '١' at x=548.04, top=305.54
393: '٨' at x=551.95, top=286.05
394: '٠' at x=551.95, top=295.79
395: '٠' at x=551.95, top=305.54
396: '٧' at x=551.95, top=315.29
397: '٬' at x=555.85, top=286.05
398: '٬' at x=555.85, top=295.79
399: '٬' at x=555.85, top=305.54
400: '٬' at x=555.85, top=315.29
401: '٤' at x=558.06, top=295.79
402: '٦' at x=558.06, top=315.29
403: '٨' at x=558.07, top=286.05
404: '٢' at x=558.07, top=305.54
405: '٦' at x=561.96, top=315.29
406: '١' at x=561.97, top=286.05
407: '٩' at x=561.97, top=305.54
408: '٣' at x=561.97, top=295.79
409: '٣' at x=565.87, top=286.05
410: '٨' at x=565.87, top=305.54
411: '٩' at x=565.87, top=295.79
412: '٨' at x=565.87, top=315.29
413: '٬' at x=569.78, top=286.05
414: '٬' at x=569.78, top=295.79
415: '٬' at x=569.78, top=305.54
416: '٬' at x=569.78, top=315.29
417: '٥' at x=571.99, top=286.05
418: '٨' at x=572.00, top=295.79
419: '٣' at x=572.00, top=305.54
420: '٨' at x=572.00, top=315.29
421: '٢' at x=575.90, top=295.79
422: '٠' at x=575.90, top=315.29
423: '٨' at x=575.90, top=286.05
424: '٦' at x=575.90, top=305.54
425: '٣' at x=579.80, top=295.79
426: '٧' at x=579.80, top=315.29
427: '١' at x=579.80, top=286.05
428: '٢' at x=579.80, top=305.54
429: '۱' at x=608.03, top=299.22
430: '۱' at x=608.03, top=308.96
431: '۷' at x=610.08, top=299.22
432: '٤' at x=610.08, top=308.96
433: '۱' at x=614.54, top=289.47
434: '٦' at x=616.59, top=289.47
435: 'ىﺮ' at x=734.64, top=309.71
436: 'ﺧأ' at x=742.67, top=309.71
437: 'ﺔﻨﻳﺪ' at x=750.32, top=309.71
438: 'ﻣ' at x=761.85, top=309.71
439: 'ﺔ' at x=763.06, top=299.96
440: 'ﻳ' at x=766.43, top=299.96
441: 'ﻢ' at x=767.43, top=309.71
442: 'رﺎ' at x=768.51, top=299.96
443: 'ﻣ' at x=771.34, top=309.71
444: 'ﺠ' at x=773.08, top=299.96
445: 'ذ' at x=774.98, top=309.71
446: 'ﺗ' at x=777.51, top=299.96
447: 'و' at x=778.30, top=309.71
448: 'ﺔ' at x=781.51, top=299.96
449: 'ت' at x=783.33, top=309.71
450: 'ﻨﻳ' at x=784.89, top=299.96
451: 'ﺪ' at x=789.35, top=299.96
452: 'ا' at x=790.23, top=309.71
453: 'ن' at x=790.80, top=290.96
454: 'د' at x=791.88, top=309.71
455: 'ﻣ' at x=793.05, top=299.96
456: 'ﻮ' at x=795.20, top=309.71
457: 'و' at x=795.56, top=290.96
458: 'ﺟ' at x=798.48, top=309.71
459: 'ﻢ' at x=798.62, top=299.96
460: 'ﺰﺨ' at x=798.66, top=290.96
461: 'ﻣ' at x=802.53, top=299.96
462: 'ﻮ' at x=802.57, top=309.71
463: 'ﻣ' at x=805.84, top=290.96
464: 'ﻣ' at x=805.85, top=309.71
465: 'ذ' at x=806.18, top=299.96
466: '٤٦٬٢٩۷٬٥٤٥' at x=77.75, top=323.09
467: '٤٨٬٧١٩٬٣٤٦' at x=147.79, top=323.60
468: 'ﺔ' at x=328.72, top=324.91
469: 'ﻟواﺪﺘﻤﻟا' at x=334.02, top=324.91
470: 'ﺮﻴﻏ' at x=356.28, top=324.91
471: 'تﺎﺑﻮﻠﻄﻤﻟا' at x=367.05, top=324.91
472: 'ﻲﻟﺎﻤﺟإ' at x=397.54, top=324.91
473: '٣٢٬٤١٤٬٩٩٦' at x=478.01, top=324.68
474: '٣٠٬٥٣٩٬٦٦٨' at x=548.04, top=325.04
475: '۱۱' at x=608.03, top=318.71
476: 'ﻞﺟﻷ' at x=743.49, top=318.71
477: 'اةﺮﻴﺼﻗ' at x=756.70, top=318.71
478: 'تارﺎ' at x=780.07, top=318.71
479: 'ﻤﺜﺘﺳا' at x=793.19, top=318.71
480: '۱۸' at x=608.03, top=328.46
481: 'ﺔﻳﺪﻘﻨﻟاﻪﺒﺷوﺔﻳﺪﻘﻧ' at x=758.43, top=328.45
482: '۸٥٬١۸٠٬٣٦٥' at x=478.00, top=335.18
483: '٨٧٬٧٦٠٬٢٤١' at x=548.04, top=335.53
484: '٢٬٤١٤٬٢٣٣' at x=79.65, top=352.13
485: '٢٬٠٨٠٬٩٢٢' at x=151.76, top=352.48
486: '۲۲' at x=209.88, top=355.29
487: 'ﺔ' at x=356.55, top=347.23
488: 'ﻟ' at x=361.85, top=347.23
489: 'ﻞ' at x=361.92, top=356.97
490: 'وا' at x=363.66, top=347.23
491: 'ﺟ' at x=366.99, top=356.97
492: 'ﺪ' at x=368.42, top=347.23
493: 'ﻷ' at x=371.09, top=356.97
494: 'ﺘﻤ' at x=372.11, top=347.23
495: 'ا' at x=375.13, top=356.97
496: 'ة' at x=378.71, top=356.97
497: 'ﻟ' at x=378.72, top=347.23
498: 'ﺮ' at x=381.53, top=356.97
499: 'ا' at x=382.45, top=347.23
500: 'ﻴ' at x=384.28, top=356.97
501: 'ت' at x=386.04, top=347.23
502: 'ﺼ' at x=386.87, top=356.97
503: 'ﺎ' at x=392.94, top=347.23
504: 'ﻗ' at x=393.46, top=356.97
505: 'ﺑ' at x=394.96, top=347.23
506: 'ﻮ' at x=396.83, top=347.23
507: 'ض' at x=398.50, top=356.97
508: 'ﻠﻄﻤ' at x=400.11, top=347.23
509: 'وﺮ' at x=407.57, top=356.97
510: 'ﻟ' at x=411.14, top=347.23
511: 'ﻗ' at x=413.42, top=356.97
512: 'ا' at x=414.87, top=347.23
513: '١' at x=474.36, top=355.42
514: '١' at x=478.00, top=344.92
515: '٠' at x=478.01, top=355.42
516: '٥' at x=481.66, top=344.92
517: '٠' at x=481.67, top=355.42
518: '٬' at x=485.31, top=344.92
519: '٬' at x=485.32, top=355.42
520: '٤' at x=487.53, top=344.92
521: '٦' at x=487.54, top=355.42
522: '٢' at x=491.18, top=344.92
523: '٠' at x=491.19, top=355.42
524: '٣' at x=494.84, top=344.92
525: '٤' at x=494.85, top=355.42
526: '٬' at x=498.49, top=344.92
527: '٬' at x=498.50, top=355.42
528: '٩' at x=500.72, top=344.92
529: '٣١' at x=500.72, top=355.42
530: '٥' at x=504.37, top=344.92
531: '٩' at x=508.02, top=355.42
532: '٤' at x=508.03, top=344.92
533: '٩' at x=548.04, top=355.77
534: '١' at x=551.95, top=355.77
535: '٣٬' at x=551.95, top=345.28
536: '٬' at x=555.85, top=355.77
